"";"Laplace"
"1";2,56530876026915
"2";1,93219334149318
"3";2,15778057706392
"4";4,50185794011045
"5";1,97271659323357
"6";1,70951983548783
"7";7,94985408412249
"8";2,56983560839901
"9";-3,29574936479126
"10";3,04338769809672
"11";-1,46558781474421
"12";-1,09719627040106
"13";2,1764394351509
"14";0,836656893656915
"15";0,853374019324518
"16";-7,47119389433323
"17";-0,254619851917609
"18";5,05001482346859
"19";0,966939068721111
"20";6,06750353966475
"21";0,203857514916304
"22";-2,12018832337661
"23";-0,928005653445648
"24";0,588012756752947
"25";-0,0282016599442092
"26";2,62869758780728
"27";-0,781533614252084
"28";0,44122346485414
"29";0,920347153302615
"30";1,00282151810875
"31";0,719441636484988
"32";2,13391086776005
"33";0,571064737762097
"34";2,62739627856996
"35";-1,97404494489601
"36";5,61772978191265
"37";-2,42962629985334
"38";2,70320257091225
"39";0,84820603106868
"40";-1,87911704186356
"41";0,232000233801648
"42";-2,18197281588679
"43";-1,12885106530912
"44";2,14696789484551
"45";-1,95283624320948
"46";-0,482523555032366
"47";-4,60612551082887
"48";1,27809056297129
"49";-6,81995108078933
"50";1,24692041151259
"51";2,85622603626992
"52";-2,57726831371642
"53";-5,05161642750195
"54";0,289992078790774
"55";2,11708033036482
"56";-3,07163848483169
"57";3,91999603169202
"58";2,30139024257749
"59";-1,20090519138658
"60";2,30244783887481
"61";-4,93913614611898
"62";-3,23565228835746
"63";0,622160771189307
"64";0,526589734250574
"65";1,81979353422437
"66";-1,76432807616599
"67";1,75210599754726
"68";5,60279343678527
"69";0,608390690677797
"70";4,08165596939292
"71";1,82680879784602
"72";4,32386497298176
"73";2,47302789579827
"74";-0,0814238177698954
"75";6,28316163580491
"76";0,453316134548958
"77";0,79771557770258
"78";6,85329844364466
"79";4,2075860967196
"80";3,55267625578977
"81";-1,43360624709606
"82";-1,1729242991878
"83";1,87285240620947
"84";-0,452689649787149
"85";-0,698794914010659
"86";-0,0601948031765356
"87";-1,93373327089913
"88";2,29166349870721
"89";1,9357465230949
"90";2,47012635025064
"91";1,6179899030008
"92";-3,12731056679028
"93";1,06198673479079
"94";-0,868294233821429
"95";0,885763955580932
"96";-0,321588030282691
"97";2,03078392525355
"98";1,71617770716071
"99";4,63865420259418
"100";-0,351684038314278
"101";-1,49931817630498
"102";1,70314810237231
"103";1,07240576982429
"104";2,15512689946266
"105";0,379510242048916
"106";0,540984677547845
"107";2,96396114154699
"108";3,14120297144718
"109";1,69130047886375
"110";0,030755134927267
"111";-3,6344031067014
"112";0,217348742257366
"113";0,644701958989284
"114";-0,716201782554936
"115";0,214889623797922
"116";5,14074017028875
"117";-1,30572688514469
"118";3,59227547926337
"119";2,99870329420982
"120";-5,03005667694246
"121";1,08309741912648
"122";2,77392782242851
"123";2,8167445300683
"124";3,66871294854698
"125";-2,24151211109195
"126";2,92833860363418
"127";-0,138628916998593
"128";-3,24839226882661
"129";2,22148611405066
"130";0,850804394710635
"131";-0,145316045663891
"132";0,402671429740173
"133";2,34253510190546
"134";3,76098695533887
"135";-3,33405988315321
"136";0,573038107306244
"137";1,58489912317069
"138";4,59959712669961
"139";2,44021571068317
"140";-5,19181368490221
"141";-1,88809894545461
"142";5,62455401973884
"143";1,16947855179608
"144";-0,54088343408895
"145";0,529987812966588
"146";2,55217673390642
"147";-2,74714801421671
"148";3,96975354346616
"149";-1,11250769680329
"150";1,13949927945112
"151";0,643981666221275
"152";-1,21469026417793
"153";1,70230261163539
"154";-2,04137428706039
"155";0,546819275659319
"156";0,0728480561531824
"157";-2,03757117432764
"158";0,0750738666357663
"159";6,62958903223678
"160";-0,993209226912237
"161";1,13290671676482
"162";1,81397636472332
"163";-6,89728542541201
"164";-0,98325036971073
"165";-0,226943273959609
"166";-0,722720499130284
"167";1,50581499863854
"168";-0,76816685098756
"169";-1,0167980354977
"170";-0,547788242192723
"171";-4,7507800447983
"172";5,08075161261414
"173";-0,400855360975196
"174";1,50021975243271
"175";4,7098719612666
"176";1,48227069385365
"177";-2,88037328142591
"178";2,14796429838482
"179";-2,23542323171546
"180";-1,69009395416492
"181";-1,18575384389143
"182";2,76906205902551
"183";1,42398507963226
"184";0,526262025631596
"185";2,87824326023136
"186";5,68012438581048
"187";4,4652228280862
"188";2,15417670582805
"189";-2,77994227487438
"190";0,615303275179314
"191";-0,515760047543019
"192";1,42364311576795
"193";3,54004738591394
"194";3,25123707406188
"195";0,109504786814715
"196";0,121697096161505
"197";1,13189172242271
"198";-7,20294941127527
"199";1,66076664803079
"200";-1,76594650378714
"201";-1,49567700836084
"202";3,00941621634452
"203";2,70865073879744
"204";2,42951409730405
"205";-0,619956090616682
"206";4,92536521511143
"207";-0,784851899070262
"208";-2,31435266422508
"209";-8,20496571798525
"210";1,94717803484244
"211";1,27097122325042
"212";12,389944362069
"213";12,5828815533423
"214";-0,0324535715887737
"215";-0,086085124804224
"216";4,24907137268832
"217";-1,32283297159698
"218";1,30745770953756
"219";-0,26538848198558
"220";-4,06086396182684
"221";5,16809978680258
"222";1,75700065754344
"223";1,83896931046247
"224";-0,354645887088606
"225";0,481178359815512
"226";-3,41175863088287
"227";1,85757206321098
"228";2,60164415817363
"229";0,814503963195277
"230";3,19532549644615
"231";0,618138916806735
"232";0,15003812448156
"233";4,94847707398902
"234";-7,56195133896706
"235";0,413449425060307
"236";4,88013213123611
"237";1,78166723935491
"238";-10,6518161668805
"239";1,37331360153071
"240";1,23550427016723
"241";1,18366667101546
"242";0,121717105716266
"243";2,32636690999188
"244";-1,04291874233524
"245";1,63098026219636
"246";-6,82526962886321
"247";-0,316964478860165
"248";2,05006960513766
"249";1,59624075648342
"250";-3,86728874306177
"251";0,95626539689511
"252";3,35207538876628
"253";1,533499034067
"254";2,27487886855872
"255";7,18752648424017
"256";-18,2432618199717
"257";2,17294718074435
"258";2,31503051886418
"259";-0,511948069155142
"260";-3,1012213289395
"261";2,27096342756548
"262";-2,05302489349512
"263";-2,80412587757204
"264";1,31569686954519
"265";1,02032943879966
"266";0,245777539143293
"267";0,393611468276181
"268";2,33355131663333
"269";0,600084680483022
"270";-3,82044810218565
"271";2,02371939903771
"272";1,46263100204572
"273";0,036313240951523
"274";0,924653927474513
"275";4,34292843739401
"276";-1,29765930595676
"277";5,6350324762961
"278";2,82874485179938
"279";-0,97912809551577
"280";1,82664558379233
"281";-0,837374200243908
"282";3,63935786053724
"283";3,23007183778107
