"","x"
"1",0.107619516817134
"2",0.233549951790256
"3",0.287704884458542
"4",0.327142061828138
"5",0.438648850224955
"6",0.223009880852288
"7",0.412201292683908
"8",0.141906996383326
"9",0.197320963180224
"10",0.288828137354868
"11",0.269077494677135
"12",0.339540443724835
"13",0.359739612246132
"14",0.100482047723678
"15",0.233828192101291
"16",0.507244222454737
"17",0.369885074396003
"18",0.231984913897684
"19",0.30802561058619
"20",0.288171448068717
"21",0.652958145545563
"22",0.194062047389493
"23",0.293692289961439
"24",0.475088992164296
"25",0.265223110672481
"26",0.356263902391651
"27",0.358177201825766
"28",0.281354147127106
"29",0.410919433619219
"30",0.11772218673608
"31",0.205626099313009
"32",0.18960129102062
"33",0.458573275647637
"34",0.435337652639839
"35",0.158262375482816
"36",0.246042694168957
"37",0.325813643313469
"38",0.209754610850376
"39",0.0474701284089389
"40",0.124109110248018
"41",0.21691809881389
"42",0.183674475611827
"43",0.422454858835768
"44",0.307041519701629
"45",0.520806545609236
"46",0.143267530641718
"47",0.231733881597591
"48",0.40176502285706
"49",0.238101113657032
"50",0.19872752213772
"51",0.342687637004679
"52",0.394241668119227
"53",0.287452543480997
"54",0.314097632283704
"55",0.326475877889946
"56",0.445871227484458
"57",0.154391966051364
"58",0.118796392901401
"59",0.374084133513081
"60",0.236185965200328
"61",0.310604450282061
"62",0.242913544175037
"63",0.336519067140973
"64",0.443187491583867
"65",0.0344737842643792
"66",0.186755512690747
"67",0.464685422299988
"68",0.26121636860339
"69",0.309702637476682
"70",0.302693782917913
"71",0.176159166277547
"72",0.272996190472095
"73",0.420320894499136
"74",0.447618895067152
"75",0.300461947297421
"76",0.218574704177048
"77",0.398169460905128
"78",0.309089774530119
"79",0.181552077921879
"80",0.583540657246193
"81",0.489434527991781
"82",0.468868174614288
"83",0.522961370637716
"84",0.159539946260456
"85",0.38771553503714
"86",0.117824341166264
"87",0.37962438846635
"88",0.141370602967423
"89",0.230991083270339
"90",0.388118983653967
"91",0.369592147352648
"92",0.130640824995049
"93",0.104210752891363
"94",0.344358096737838
"95",0.0869903375028364
"96",0.187282630508741
"97",0.165870822038678
"98",0.464587848617058
"99",0.0693843384526659
"100",0.245439650035214
"101",0.105993209911844
"102",0.408944559874462
"103",0.324395247870883
"104",0.381965497535793
"105",0.148456876730775
"106",0.242104865746565
"107",0.255921152936652
"108",0.371076268637928
"109",0.294859023600312
"110",0.369919744938547
"111",0.226194725099901
"112",0.195306926904484
"113",0.237985078175092
"114",0.298157888796224
"115",0.382577815991617
"116",0.19434575740624
"117",0.360924503555932
"118",0.480364898915272
"119",0.411342256047417
"120",0.195619748598025
"121",0.302205785376568
"122",0.0957290477678941
"123",0.162552373691258
"124",0.283244636741438
"125",0.25106412116356
"126",0.4630683674934
"127",0.242194492675202
"128",0.133467982146487
"129",0.0743955862235383
"130",0.258777701109974
"131",0.175239449301906
"132",0.214312498879741
"133",0.344963536397415
"134",0.312603041607043
